App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Primary Genres,Secondary Genres
iLauncher OS 12 Pro - Phone X,PERSONALIZATION,0.0,3,9600000.0,50,Paid,2.99,1,Personalization,24-Jun-18,1.0.1,4.1 and up,Personalization,
Hero Fighter X,GAME,4.5,24210,45000000.0,500000,Free,0.0,2,Action,13-Nov-15,1.091,2.2 and up,Action,
Slendrina X,GAME,4.4,12736,56000000.0,1000000,Free,0.0,2,Arcade,18-Dec-17,1.02,4.0 and up,Arcade,
X Back - Icon Pack,PERSONALIZATION,4.5,56,26000000.0,10000,Paid,0.99,1,Personalization,29-Jun-18,1.6.2,4.1 and up,Personalization,
Guide (for X-MEN),BOOKS_AND_REFERENCE,4.6,586,17000000.0,100000,Free,0.0,1,Books & Reference,8-May-17,1.1.1,3.0 and up,Books & Reference,
"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,4.3,60,6900000.0,1000,Paid,3.99,1,Tools,11-Jul-18,4.4.1,4.1 and up,Tools,
Robocar X Ray,GAME,4.5,3432,99000000.0,1000000,Free,0.0,4,Action,23-Jan-17,1,2.3 and up,Action,
Space X: Sky Wars of Air Force,GAME,4.5,10748,47000000.0,1000000,Free,0.0,1,Arcade,4-Aug-18,4,4.1 and up,Arcade,
OS-X EMUI 4/5/8 THEME,PERSONALIZATION,3.9,916,36000000.0,100000,Free,0.0,1,Personalization,5-Feb-18,5,4.4 and up,Personalization,
Flexiroam X,TRAVEL_AND_LOCAL,4.0,875,21000000.0,100000,Free,0.0,1,Travel & Local,3-Aug-18,3.5.3,4.1 and up,Travel & Local,
X-ray scanner simulator,FAMILY,2.7,1616,3000000.0,500000,Free,0.0,1,Casual,8-Jan-17,7,2.1 and up,Casual,
X Construction,FAMILY,4.5,18612,8500000.0,100000,Paid,1.49,1,Puzzle,28-Jul-15,1.57,2.3 and up,Puzzle,
X Home Bar - Home Bar Gesture Pro,TOOLS,4.0,88,2000000.0,10000,Paid,1.99,1,Tools,2-Jul-18,1.5,4.3 and up,Tools,
PLAYBULB X,LIFESTYLE,2.9,2160,15000000.0,100000,Free,0.0,1,Lifestyle,25-Jun-18,1.6.5,4.3 and up,Lifestyle,
X-Wing Squadron Builder,FAMILY,4.6,5898,50000000.0,100000,Free,0.0,1,Entertainment,1-Aug-17,3.3.8.03082017,1.6 and up,Entertainment,
YouTube TV - Watch & Record Live TV,FAMILY,4.4,38517,17000000.0,1000000,Free,0.0,2,Entertainment,2-Aug-18,2.29.2,5.0 and up,Entertainment,
JW Caleb y Sofia,FAMILY,4.6,5227,1900000.0,500000,Free,0.0,1,Education,20-Nov-15,1,4.0.3 and up,Education,
Boomerang Make and Race,FAMILY,4.4,281448,70000000.0,10000000,Free,0.0,1,Racing;Action & Adventure,1-Jun-18,1.5.0,4.0 and up,Racing,Action & Adventure
Talking Tom & Ben News,FAMILY,4.4,1131937,41000000.0,100000000,Free,0.0,1,Entertainment,30-Apr-18,2.4.0.7,4.1 and up,Entertainment,
Vegas Crime Simulator,FAMILY,4.2,721646,99000000.0,50000000,Free,0.0,2,Simulation,2-Aug-18,2.7,4.1 and up,Simulation,
PewDiePie's Tuber Simulator,FAMILY,4.8,1499466,96000000.0,10000000,Free,0.0,2,Casual,24-Jul-18,1.25.0,4.1 and up,Casual,
Real Gangster Crime,GAME,4.3,285814,84000000.0,10000000,Free,0.0,2,Action,26-Jun-18,3.5,4.0 and up,Action,
Antivirus & Mobile Security,TOOLS,4.6,351267,5000000.0,10000000,Free,0.0,1,Tools,9-Feb-18,3.1.0,4.0 and up,Tools,
Flashlight Ultimate,TOOLS,4.6,16936,5000000.0,1000000,Free,0.0,1,Tools,25-Jan-18,2.94,4.0 and up,Tools,
Gangster Town,GAME,4.1,74842,99000000.0,5000000,Free,0.0,2,Action,22-Dec-16,1.7,2.3 and up,Action,
Rope Hero 3,GAME,4.4,45871,99000000.0,5000000,Free,0.0,2,Action,8-May-17,1.6,2.3 and up,Action,
Avast Mobile Security 2018 - Antivirus & App Lock,TOOLS,4.5,5180480,26000000.0,100000000,Free,0.0,1,Tools,1-Aug-18,6.11.4,4.1 and up,Tools,
Z Origins - (Z The Game),FAMILY,4.6,4421,37000000.0,50000,Paid,2.99,2,Strategy,5-Nov-14,1.77,2.2 and up,Strategy,
"Zapya - File Transfer, Sharing",TOOLS,4.6,387958,9000000.0,10000000,Free,0.0,2,Tools,16-Jul-18,5.6.2 (US),4.0.3 and up,Tools,
Experiment Z - Zombie,GAME,4.0,229329,88000000.0,10000000,Free,0.0,4,Action,4-Dec-17,2.14,4.1 and up,Action,
War Z 2,FAMILY,4.5,97071,87000000.0,5000000,Free,0.0,2,Strategy,3-Apr-18,0.1.219,2.3.3 and up,Strategy,
Last Empire - War Z: Strategy,FAMILY,4.2,853495,78000000.0,50000000,Free,0.0,2,Strategy,2-Aug-18,1.0.208,4.0.3 and up,Strategy,
Z Day: Hearts of Heroes,FAMILY,3.9,5894,67000000.0,1000000,Free,0.0,3,Strategy,11-Jul-18,1.0.2,4.0.3 and up,Strategy,
Z Champions,GAME,4.7,96028,59000000.0,1000000,Free,0.0,2,Arcade,28-May-18,Varies with device,4.0 and up,Arcade,
CPU-Z,TOOLS,4.5,295430,1400000.0,10000000,Free,0.0,1,Tools,17-Apr-18,1.26,2.2 and up,Tools,
WithstandZ - Zombie Survival!,GAME,4.3,121612,59000000.0,1000000,Free,0.0,2,Action,28-Dec-17,1.0.6.4,4.0 and up,Action,
Empire Z: Endless War,FAMILY,4.2,367951,76000000.0,5000000,Free,0.0,2,Strategy,16-Jul-18,2.2.8,4.0.3 and up,Strategy,
Zombie War Z : Hero Survival Rules,GAME,3.9,1987,62000000.0,100000,Free,0.0,4,Action,13-Dec-17,1.8,4.0.3 and up,Action,
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80000000.0,10000000,Free,0.0,2,Action,3-Jul-18,3.11.0,4.0.3 and up,Action,
Moto Z Market,TOOLS,2.2,605,3800000.0,1000000,Free,0.0,1,Tools,18-Dec-17,02.02.0045,5.0 and up,Tools,
Cube Z (Pixel Zombies),GAME,4.2,41444,56000000.0,1000000,Free,0.0,2,Action,31-Jul-16,1.0.11,4.0.3 and up,Action,
Z War-Zombie Modern Combat,FAMILY,4.2,62301,72000000.0,5000000,Free,0.0,2,Strategy,1-Aug-18,1.6,4.1 and up,Strategy,
Z App,LIFESTYLE,2.8,405,25000000.0,50000,Free,0.0,1,Lifestyle,22-Jun-18,4.2.45,4.4 and up,Lifestyle,
GALAK-Z: Variant Mobile,GAME,3.9,145,79000000.0,10000,Free,0.0,1,Action,30-Jul-18,1.7.6,4.4 and up,Action,
Z City,FAMILY,4.3,3976,98000000.0,100000,Free,0.0,2,Strategy,29-Jan-18,1.1.6,4.0 and up,Strategy,
Space Z 🌏 🚀Icon Pack Theme,PERSONALIZATION,4.8,201,68000000.0,1000,Paid,1.49,1,Personalization,4-Aug-18,1.2.7,4.0.3 and up,Personalization,
Reload: The Z-Team,GAME,4.3,1655,91000000.0,100000,Free,0.0,3,Action,28-Feb-18,1.6.2,4.4 and up,Action,
Rage Z: Multiplayer Zombie FPS Online Shooter,GAME,4.1,11258,44000000.0,500000,Free,0.0,4,Action,8-Dec-16,1.25,4.2 and up,Action,
Pixel Z Gunner 3D - Battle Survival Fps,GAME,4.2,11408,96000000.0,1000000,Free,0.0,2,Action,6-Jul-18,4.1,4.0 and up,Action,
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306,61000000.0,10000,Free,0.0,1,Adventure,18-Apr-18,2.0.2,4.0 and up,Adventure,
Z-Empire: Dead Strike,FAMILY,4.6,99,19000000.0,10000,Free,0.0,2,Strategy,8-Jun-18,1.8.7,4.0.3 and up,Strategy,
Free Z Glass GO Keyboard Theme,PERSONALIZATION,4.3,71829,8800000.0,5000000,Free,0.0,1,Personalization,30-Jun-17,4.16,4.0 and up,Personalization,
Zombie Avengers:(Dreamsky)Stickman War Z,GAME,4.3,13604,96000000.0,1000000,Paid,0.99,2,Action,26-Jun-18,2.4.4,2.3 and up,Action,
Z Camera,PHOTOGRAPHY,3.8,142,7700000.0,10000,Free,0.0,1,Photography,8-Apr-16,1.8,4.0 and up,Photography,
Cardio Z,MEDICAL,0.0,24,10000000.0,100,Paid,5.99,1,Medical,13-Mar-17,1.0.2.1,4.4 and up,Medical,
GO SMS Pro Z Glass Theme EX,PERSONALIZATION,3.8,24198,2200000.0,1000000,Free,0.0,1,Personalization,10-Jul-14,1,1.6 and up,Personalization,
Route Z,GAME,3.9,24697,16000000.0,500000,Free,0.0,2,Action,10-Jul-15,1.5,4.0 and up,Action,
Z PIVOT,COMMUNICATION,0.0,0,5700000.0,10,Paid,19.99,1,Communication,11-Jul-18,1.3,4.2 and up,Communication,
Dragon X Adventure: Warrior Z,GAME,4.3,8537,29000000.0,100000,Free,0.0,3,Action,3-Nov-15,1.1.4,2.3 and up,Action,
Ultimate Fighter Z,GAME,4.3,180,24000000.0,5000,Free,0.0,1,Action,16-Jul-18,2,4.4 and up,Action,
Theme eXp - Black Z Light,PERSONALIZATION,4.3,29540,4300000.0,1000000,Free,0.0,1,Personalization,15-Jun-16,2,5.0 and up,Personalization,
Toy Battle Z,FAMILY,4.1,133,48000000.0,10000,Free,0.0,1,Casual,23-Jul-18,1.0.4,4.0 and up,Casual,
Wave Z Live Wallpaper,PERSONALIZATION,4.2,63699,2300000.0,5000000,Free,0.0,2,Personalization,21-Sep-15,1.1.6,2.3 and up,Personalization,
30 Day Ab Challenge,HEALTH_AND_FITNESS,4.5,1886,7600000.0,500000,Free,0.0,1,Health & Fitness,21-Jun-16,3.2.1,4.0 and up,Health & Fitness,
Angry Birds Blast,FAMILY,4.6,253115,99000000.0,10000000,Free,0.0,1,Puzzle,27-Jul-18,1.6.4,4.4 and up,Puzzle,
ab,FAMILY,3.8,10,22000000.0,1000,Free,0.0,1,Casual,27-Oct-16,1,4.0 and up,Casual,
Ultimate Ab & Core Workouts,HEALTH_AND_FITNESS,4.7,55571,12000000.0,1000000,Free,0.0,1,Health & Fitness,21-Feb-18,1.23,4.0 and up,Health & Fitness,
Angry Birds Evolution,FAMILY,4.5,384602,88000000.0,10000000,Free,0.0,1,Role Playing,30-Jul-18,1.21.1,5.0 and up,Role Playing,
Angry Birds Match,FAMILY,4.7,227401,91000000.0,5000000,Free,0.0,1,Puzzle,19-Jul-18,1.5.0,5.0 and up,Puzzle,
Angry Birds POP Bubble Shooter,FAMILY,4.5,596628,99000000.0,10000000,Free,0.0,1,Casual,2-Aug-18,3.39.0,4.1 and up,Casual,
Abs Workout - Burn Belly Fat with No Equipment,HEALTH_AND_FITNESS,4.8,69279,10000000.0,10000000,Free,0.0,1,Health & Fitness,23-Jul-18,1.1.8,4.2 and up,Health & Fitness,
AB Repeat Player,VIDEO_PLAYERS,4.3,1628,18000000.0,100000,Free,0.0,1,Video Players & Editors,6-Mar-18,4.1.1,4.4 and up,Video Players & Editors,
"Abs, Core & Back Workout Challenge",HEALTH_AND_FITNESS,4.8,3908,33000000.0,100000,Free,0.0,1,Health & Fitness,9-Jul-18,1.5.8,4.1 and up,Health & Fitness,
AB Mobile App,HEALTH_AND_FITNESS,3.4,2105,8200000.0,100000,Free,0.0,1,Health & Fitness,21-Aug-17,2.1.0,4.0.3 and up,Health & Fitness,
Angry Birds Epic RPG,FAMILY,4.5,2634605,63000000.0,10000000,Free,0.0,1,Role Playing,18-Jul-18,3.0.27430.4799,4.4 and up,Role Playing,
A-B repeater,VIDEO_PLAYERS,4.4,32,239000.0,5000,Free,0.0,1,Video Players & Editors,18-May-18,1.8,3.0 and up,Video Players & Editors,
Angry Birds Friends,GAME,4.2,829753,48000000.0,50000000,Free,0.0,1,Arcade,19-Jun-18,4.9.0,4.1 and up,Arcade,
AB Blast Match 3,FAMILY,4.3,111,48000000.0,10000,Free,0.0,1,Puzzle,19-Jun-18,1.13,4.1 and up,Puzzle,
AB Click2Shop,SHOPPING,3.8,454,18000000.0,100000,Free,0.0,1,Shopping,26-Jun-18,1.1.0.0,4.1 and up,Shopping,
Math games for kids : times tables - AB Math,FAMILY,3.9,2371,8300000.0,500000,Free,0.0,1,Educational;Education,27-Jul-18,3.9.3,4.0.3 and up,Educational,Education
AB Crush Match 3,FAMILY,4.3,96,54000000.0,10000,Free,0.0,1,Casual,23-Feb-17,1.1,2.3 and up,Casual,
AB Match,FAMILY,4.2,9,30000000.0,1000,Free,0.0,1,Casual,19-May-18,1.0.4,4.1 and up,Casual,
Math games for kids : times tables training,FAMILY,4.5,630,8300000.0,10000,Paid,1.59,1,Educational;Education,27-Jul-18,3.9.3,4.0.3 and up,Educational,Education
7 minute abs workout - Daily Ab Workout,HEALTH_AND_FITNESS,4.8,527,23000000.0,100000,Free,0.0,1,Health & Fitness,30-Mar-18,2.01,4.1 and up,Health & Fitness,
AB Anywhere Mobile Banking,FINANCE,0.0,3,11000000.0,500,Free,0.0,1,Finance,3-Jul-18,4.17.82,4.4 and up,Finance,
5 Minute Ab Workouts,HEALTH_AND_FITNESS,4.6,2067,8400000.0,50000,Free,0.0,1,Health & Fitness,18-May-18,2.0.4,4.1 and up,Health & Fitness,
Angry Birds Go!,GAME,4.2,3846378,82000000.0,50000000,Free,0.0,1,Racing,30-May-18,2.8.2,4.1 and up,Racing,
AB Screen Recorder,TOOLS,4.2,533,5000000.0,10000,Free,0.0,1,Tools,2-Oct-17,2.8,5.0 and up,Tools,
Six Pack Abs Photo Editor,PHOTOGRAPHY,4.0,5967,17000000.0,1000000,Free,0.0,1,Photography,2-Feb-17,2,3.0 and up,Photography,
Best Blood Type AB: Food Diet & Personality,LIFESTYLE,0.0,3,37000000.0,1000,Free,0.0,1,Lifestyle,11-Jul-18,1.2,4.0.3 and up,Lifestyle,
Angry Birds Star Wars,GAME,4.3,1218055,45000000.0,100000000,Free,0.0,1,Arcade,25-May-18,1.5.12,4.1 and up,Arcade,
30 Day AB Challenge - Lumowell,HEALTH_AND_FITNESS,4.8,793,40000000.0,10000,Free,0.0,1,Health & Fitness,15-Sep-16,1.0.3,4.0.3 and up,Health & Fitness,
Ab Workouts,HEALTH_AND_FITNESS,4.1,27501,7000000.0,1000000,Free,0.0,1,Health & Fitness,5-Jan-18,5.1.9,4.0 and up,Health & Fitness,
Ab Workouts - Ab Generator,HEALTH_AND_FITNESS,4.7,21,3800000.0,1000,Free,0.0,1,Health & Fitness,31-Dec-16,2.0.0,4.1 and up,Health & Fitness,
Chatime AB Rewards,FAMILY,0.0,9,22000000.0,1000,Free,0.0,1,Entertainment,22-Jun-18,2.7.0621,4.2 and up,Entertainment,
Abs workout - 21 Day Fitness Challenge,HEALTH_AND_FITNESS,4.8,18604,15000000.0,1000000,Free,0.0,1,Health & Fitness,2-May-18,1.0.0.9,4.1 and up,Health & Fitness,
Ladies' Ab Workout FREE,HEALTH_AND_FITNESS,4.0,12906,8500000.0,1000000,Free,0.0,1,Health & Fitness,8-Oct-12,1.01,2.1 and up,Health & Fitness,
30-Day Ab Challenge Tracker,HEALTH_AND_FITNESS,3.5,224,371000.0,10000,Free,0.0,1,Health & Fitness,9-Jul-14,1.2.6,4.1 and up,Health & Fitness,
Universal AC Remote Control,TOOLS,3.8,40934,5200000.0,1000000,Free,0.0,1,Tools,28-Jul-18,acremotecontrol18,4.0.3 and up,Tools,
Smart Air Conditioner,TOOLS,3.3,4786,13000000.0,500000,Free,0.0,1,Tools,24-May-18,1.2.84,2.2 and up,Tools,
Assassin's Creed Identity,GAME,3.7,42529,92000000.0,500000,Paid,1.99,2,Action,23-Nov-16,2.8.2,4.1 and up,Action,
AC Remote Control,TOOLS,3.3,472,2000000.0,100000,Free,0.0,1,Tools,17-Oct-17,1.3,4.1 and up,Tools,
Air conditioner remote control,TOOLS,3.4,29854,5000000.0,1000000,Free,0.0,1,Tools,19-Jul-17,5,2.3 and up,Tools,
Smart-AC Universal Remote Free,FAMILY,1.8,3270,1800000.0,500000,Free,0.0,1,Entertainment,18-Aug-15,1,2.2 and up,Entertainment,
AC REMOTE UNIVERSAL-PRO,FAMILY,1.6,402,1700000.0,100000,Free,0.0,1,Entertainment,11-Dec-15,1,2.2 and up,Entertainment,
Kenmore Smart AC,LIFESTYLE,1.9,71,24000000.0,5000,Free,0.0,1,Lifestyle,8-May-17,1.0.11,4.4 and up,Lifestyle,
AC WIFI,TOOLS,3.6,41,23000000.0,10000,Free,0.0,1,Tools,3-Jun-18,1.0.3,2.3 and up,Tools,
A/C Air Conditioner Remote,TOOLS,3.4,7816,5100000.0,1000000,Free,0.0,1,Tools,30-Jul-16,1.1.1,3.0 and up,Tools,
Smart Air Conditioner(CAC),TOOLS,3.2,409,7900000.0,50000,Free,0.0,1,Tools,25-May-18,1.0.18,2.2 and up,Tools,
Carrier Air Conditioner,TOOLS,2.5,362,7800000.0,100000,Free,0.0,1,Tools,15-Jan-18,v67_slk3.0_20180115_01,4.0 and up,Tools,
AC Troubleshooter,TOOLS,4.7,147,4200000.0,10000,Free,0.0,1,Tools,8-Jan-15,1.3,3.0 and up,Tools,
TOSHIBA Smart AC,TOOLS,2.6,60,18000000.0,10000,Free,0.0,1,Tools,4-Aug-18,2.1.20180804_01,4.0.3 and up,Tools,
Trane Interactive Smart AC,TOOLS,2.8,48,3300000.0,10000,Free,0.0,1,Tools,21-Apr-16,0.0.2,4.3 and up,Tools,
AC remote control mobile,TOOLS,3.9,3043,7700000.0,100000,Free,0.0,1,Tools,2-Jun-17,1.3 acremotecontrol,4.0.3 and up,Tools,
"AC Air condition Troubleshoot,Repair,Maintenance",BOOKS_AND_REFERENCE,4.2,27,3100000.0,5000,Free,0.0,1,Books & Reference,7-Feb-18,1.1,4.0 and up,Books & Reference,
AC Remote for Haier - NOW FREE,TOOLS,3.9,336,27000000.0,50000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
Air Conditioner Maintenance,PRODUCTIVITY,4.0,11,220000.0,5000,Free,0.0,1,Productivity,27-Nov-15,airConditionerMaintenance_13112015,2.3.3 and up,Productivity,
AC Remote for Daikin - NOW FREE,TOOLS,3.5,383,26000000.0,50000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
A/C Universal Remote Control,TOOLS,3.1,3263,3000000.0,1000000,Free,0.0,1,Tools,16-May-17,1.17,3.0 and up,Tools,
AC Remote for LG - NOW FREE,TOOLS,3.7,1041,28000000.0,100000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
Plug-in app (System AC),TOOLS,3.6,126,11000000.0,10000,Free,0.0,1,Tools,8-Jun-17,v1.1072.35.0,4.0 and up,Tools,
LG AC Smart Diagnosis,LIFESTYLE,3.4,377,6100000.0,100000,Free,0.0,1,Lifestyle,21-Mar-17,1.1.4,4.0 and up,Lifestyle,
AC Remote for Midea - NOW FREE,TOOLS,4.0,448,26000000.0,100000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
Ac remote control,TOOLS,3.7,822,5000000.0,50000,Free,0.0,1,Tools,27-Feb-17,1.1,2.3 and up,Tools,
A/C REFRIGERANT CAPACITY,BUSINESS,1.7,84,2100000.0,10000,Free,0.0,1,Business,28-Oct-14,1,4.1 and up,Business,
Remote Control For All AC - Universal Remote,PRODUCTIVITY,2.4,166,6100000.0,10000,Free,0.0,1,Productivity,28-Jul-18,1.1,4.0.3 and up,Productivity,
All Type Ac Repair & Services,LIFESTYLE,4.3,45,2200000.0,10000,Free,0.0,1,Lifestyle,26-Dec-17,0.8,4.1 and up,Lifestyle,
AC Remote Control Simulator,FAMILY,3.3,353,2300000.0,100000,Free,0.0,1,Entertainment,4-Dec-17,1,4.0.3 and up,Entertainment,
"Mi Remote controller - for TV, STB, AC and more",TOOLS,4.1,114340,28000000.0,10000000,Free,0.0,1,Tools,1-Aug-18,5.7.1,4.2 and up,Tools,
AcDisplay,PERSONALIZATION,4.1,66473,3000000.0,1000000,Free,0.0,1,Personalization,30-Jul-15,3.8.4,4.1 and up,Personalization,
AC Mobile Control,HOUSE_AND_HOME,3.4,1450,9700000.0,100000,Free,0.0,1,House & Home,5-Nov-13,2.4,2.2 and up,House & Home,
AC Remote For LG,TOOLS,3.0,1298,3400000.0,100000,Free,0.0,1,Tools,20-Feb-18,1,4.0 and up,Tools,
Universal AC Remote Control Simulator,FAMILY,3.0,119,3900000.0,50000,Free,0.0,1,Entertainment,22-Dec-17,1,4.0 and up,Entertainment,
Hi-Smart AC,TOOLS,2.2,32,9400000.0,1000,Free,0.0,1,Tools,3-Apr-18,1.1.0,4.4 and up,Tools,
AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,26000000.0,50000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
AC Remote for Samsung - NOW FREE,TOOLS,3.7,566,27000000.0,100000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
Pocket AC,PHOTOGRAPHY,4.8,130,4400000.0,1000,Paid,9.99,1,Photography,27-Jun-18,3.1.1,4.1 and up,Photography,
AC Remote for Carrier - NOW FREE,TOOLS,3.7,163,26000000.0,10000,Free,0.0,1,Tools,30-Jul-18,6.1.7,4.2 and up,Tools,
"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,3.6,3632,3200000.0,1000000,Free,0.0,1,Tools,13-Nov-17,11;11.26,4.0.3 and up,Tools,
ac remote control,TOOLS,3.7,9514,7000000.0,500000,Free,0.0,1,Tools,11-Jul-18,acremotecontrol-v7,4.0.3 and up,Tools,
Ad Detect Plugin - Handy Tool,PRODUCTIVITY,3.8,5107,1400000.0,500000,Free,0.0,1,Productivity,28-Dec-15,1.6.3,2.3 and up,Productivity,
AppBrain Ad Detector,TOOLS,3.7,9221,1700000.0,1000000,Free,0.0,1,Tools,12-Apr-18,2.2.1,4.1 and up,Tools,
AdClear Ad blocker for Samsung,TOOLS,4.2,1586,1500000.0,500000,Free,0.0,1,Tools,7-Sep-17,1.0.5,5.0 and up,Tools,
Adblock Browser for Android,COMMUNICATION,4.1,121113,39000000.0,10000000,Free,0.0,1,Communication,11-Jul-18,1.4.0,4.1 and up,Communication,
Adguard Content Blocker,TOOLS,4.1,14491,4300000.0,1000000,Free,0.0,1,Tools,26-Feb-18,2.1.2,Varies with device,Tools,
cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8300000.0,50000,Paid,2.99,1,Health & Fitness,13-Jul-18,2.1.2,4.4 and up,Health & Fitness,
Ad Detector,TOOLS,3.8,208,730000.0,50000,Free,0.0,1,Tools,28-Jul-14,1,2.3 and up,Tools,
Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4.0,8769,2100000.0,1000000,Free,0.0,1,Communication,5-Apr-18,1.1.4,5.0 and up,Communication,
MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26000000.0,10000,Paid,2.99,1,Weather,4-Aug-18,7.1.4,4.0.3 and up,Weather,
Safe Notes - Secure Ad-free notepad,PRODUCTIVITY,4.6,3362,756000.0,50000,Free,0.0,1,Productivity,21-Nov-17,1.7,4.0 and up,Productivity,
Adblock Fast,PRODUCTIVITY,4.1,9914,3200000.0,1000000,Free,0.0,1,Productivity,17-May-17,1.4.0,5.0 and up,Productivity,
FVD Ad-Free,TOOLS,4.4,1774,4100000.0,10000,Paid,1.99,1,Tools,5-Oct-17,4.4.3,3.0 and up,Tools,
2000 AD Comics and Judge Dredd,COMICS,3.7,705,20000000.0,50000,Free,0.0,2,Comics,19-Jul-18,1.3.0,4.0.3 and up,Comics,
Anti Adware,TOOLS,3.9,18751,3600000.0,1000000,Free,0.0,1,Tools,19-Jun-18,3.6,4.1 and up,Tools,
Ad Blocker Turbo - Adblocker Browser,COMMUNICATION,3.9,107,44000000.0,10000,Free,0.0,1,Communication,29-Jan-18,1.0.5,4.1 and up,Communication,
Weather & Radar Pro - Ad-Free,WEATHER,4.5,25243,26000000.0,100000,Paid,2.99,1,Weather,1-Aug-18,4.34.0,4.4 and up,Weather,
ONScripter Plus (Ad Free),GAME,4.5,100,17000000.0,1000,Paid,3.99,1,Adventure,7-Apr-16,1.2.4,4.1 and up,Adventure,
Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1100000.0,10000,Paid,2.99,1,Tools,3-Jul-18,2.0.1,4.4 and up,Tools,
Google AdSense,PRODUCTIVITY,4.3,52677,2900000.0,1000000,Free,0.0,1,Productivity,13-Dec-17,3.3,4.0 and up,Productivity,
Ad-free Triangle Solver,FAMILY,4.5,118,24000000.0,10000,Free,0.0,1,Education,20-Aug-15,6.3.1,4.2 and up,Education,
Ez Screen Recorder (no ad),VIDEO_PLAYERS,4.7,8696,14000000.0,100000,Free,0.0,1,Video Players & Editors,3-Jun-18,2.1.4,5.0 and up,Video Players & Editors,
Best Applock - Locker & No Ads,PRODUCTIVITY,4.7,10672,6900000.0,100000,Free,0.0,1,Productivity,23-Jun-18,2.1.1,4.1 and up,Productivity,
Local Services ads by Google,BUSINESS,4.1,7,12000000.0,1000,Free,0.0,1,Business,17-Jul-18,3.3.270,4.0 and up,Business,
Ad Block REMOVER - NEED ROOT,TOOLS,3.3,999,91000.0,100000,Free,0.0,1,Tools,17-Dec-13,3.2,2.2 and up,Tools,
WhatsFake Pro (Ad free),SOCIAL,4.2,204,9400000.0,5000,Paid,0.99,1,Social,25-Sep-17,1.4,4.1 and up,Social,
Photo Compress 2.0 - Ad Free,TOOLS,4.1,6267,1700000.0,1000000,Free,0.0,1,Tools,7-May-16,2.1,3.2 and up,Tools,
Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,293000.0,100,Paid,6.49,1,Productivity,3-May-14,1,2.2 and up,Productivity,
Solitaire: Decked Out Ad Free,GAME,4.9,37302,35000000.0,500000,Free,0.0,1,Card,8-May-17,1.3.3,4.1 and up,Card,
"WeatherClear - Ad-free Weather, Minute forecast",WEATHER,4.5,3252,3800000.0,50000,Free,0.0,1,Weather,25-Jun-17,1.2.6,4.1 and up,Weather,
Ad Remove Plugin for App2SD,PRODUCTIVITY,4.1,66,17000.0,1000,Paid,1.29,1,Productivity,25-Sep-13,1.0.0,2.2 and up,Productivity,
"Digital Clock : Simple, Tiny, Ad-free Desk Clock.",LIFESTYLE,4.4,317,74000.0,50000,Free,0.0,1,Lifestyle,21-Dec-16,3,2.3 and up,Lifestyle,
RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1100000.0,10000,Paid,2.99,1,Tools,26-Jul-16,3,4.1 and up,Tools,
Emo Ads Blocker Browser,TOOLS,3.4,1555,4100000.0,100000,Free,0.0,1,Tools,17-Sep-15,1.4,3.0 and up,Tools,
Bing Ads,BUSINESS,4.1,1828,13000000.0,100000,Free,0.0,1,Business,20-Jul-18,2.13.2,4.1 and up,Business,
My baby firework (Remove ad),FAMILY,4.1,30,14000.0,1000,Paid,0.99,1,Entertainment,25-Apr-13,Varies with device,Varies with device,Entertainment,
Apps Ads Detector,TOOLS,3.5,315,8300000.0,100000,Free,0.0,1,Tools,19-Feb-18,25,4.0.3 and up,Tools,
TIMBER AD FILTER - Very useful ad block app,PRODUCTIVITY,3.8,1343,9000000.0,100000,Free,0.0,1,Productivity,12-Mar-18,1.0.26,5.0 and up,Productivity,
Alchemy Classic Ad Free,FAMILY,4.6,20178,9000000.0,100000,Free,0.0,1,Puzzle,26-May-14,1.7.3,1.6 and up,Puzzle,
Easy Hotspot Ad Free,TOOLS,5.0,2,3300000.0,10,Paid,0.99,1,Tools,26-Jul-18,1.05,4.0 and up,Tools,
